id,key,value,type
18176516,highway,turning_circle,regular
18176516,maxspeed,20 mph,regular
18176529,created_by,JOSM,regular
18176539,highway,turning_circle,regular
18176539,maxspeed,20 mph,regular
18176544,created_by,JOSM,regular
18176546,created_by,JOSM,regular
18176550,created_by,JOSM,regular
18176551,created_by,JOSM,regular
18176552,created_by,JOSM,regular
18176553,created_by,JOSM,regular
18176554,created_by,JOSM,regular
18176555,highway,turning_circle,regular
18176555,maxspeed,20 mph,regular
18183031,note,original node representing park from 2006 - preserved for posterity :),regular
18183110,name,Cherry Hinton Library,regular
18183110,telephone,+443450455225,regular
18183110,amenity,library,regular
18183110,street,High Street,addr
18183110,postal_code,CB1 9HZ,addr
18183111,name,Cherry Hinton Village Hall,regular
18183111,amenity,community_centre,regular
18183111,id,506771,fhrs
18183111,postal_code,CB1 9EJ,addr
18232189,railway,level_crossing,regular
18238341,name,Teversham,regular
18238341,is_in,"Cambridgeshire, England, UK",regular
18238341,place,village,regular
18238341,created_by,JOSM,regular
18238341,population,2630,regular
18238341,source,http://www.scambs.gov.uk/CommunityandLiving/VillageServicesAndAmenities/,source
18238344,name,Cherry Hinton PO,regular
18238344,amenity,post_office,regular
18238344,postal_code,CB1 9HY,addr
18351898,name,Tamarind,regular
18351898,amenity,restaurant,regular
18351898,cuisine,indian,regular
18351898,id,597137,fhrs
18351898,takeaway,yes,regular
18351898,wheelchair,yes,regular
18351898,street,High Street,addr
18351898,postal_code,CB1 9AS,addr
18351898,website,http://www.tamarind-cambridge.co.uk/,contact
18351898,housenumber,1,addr
18351899,traffic_calming,table,regular
18351909,created_by,JOSM,regular
18351924,created_by,JOSM,regular
18351951,traffic_calming,table,regular
18352136,barrier,lift_gate,regular
18352150,name,Fen Ditton,regular
18352150,is_in,"Cambridge, Cambridgeshire, England, UK",regular
18352150,place,village,regular
18352150,wikidata,Q2655949,regular
18352150,population,740,regular
18352150,source,http://www.scambs.gov.uk/CommunityandLiving/VillageServicesAndAmenities/,source
18352201,created_by,JOSM,regular
18352222,name,Greenhouse Park Innovation Centre,regular
18352222,created_by,JOSM,regular
18352235,barrier,gate,regular
18352238,entrance,main,regular
18352264,name,Newmarket Road Park & Ride,regular
18352264,amenity,bus_station,regular
18352264,operator,Stagecoach in Cambridge,regular
18352288,created_by,JOSM,regular
18352295,created_by,JOSM,regular
18352317,barrier,gate,regular
18352336,noexit,yes,regular
18352363,name,Quy Mill Hotel,regular
18352363,tourism,hotel,regular
18352363,operator,Best Western,regular
18352401,name,Health Centre parking,regular
18352401,amenity,parking,regular
18352401,created_by,JOSM,regular
18352411,barrier,gate,regular
18352425,name,Cambridge Cemetery,regular
18352425,amenity,parking,regular
18352425,created_by,JOSM,regular
18352554,traffic_calming,table,regular
18352562,created_by,JOSM,regular
18352565,highway,crossing,regular
18352565,crossing,unmarked,regular
18353597,entrance,main,regular
18378870,highway,traffic_signals,regular
18378892,created_by,JOSM,regular
18378921,note,Lcn Unsigned North Of This Junction,regular
18378921,source,local_knowledge,regular
18378921,highway,traffic_signals,regular
18382662,highway,mini_roundabout,regular
18382662,direction,clockwise,regular
18382663,highway,traffic_signals,regular
18382696,created_by,JOSM,regular
18628264,created_by,JOSM,regular
18628277,created_by,JOSM,regular
18628283,created_by,JOSM,regular
18628292,created_by,JOSM,regular
18628295,created_by,JOSM,regular
18628297,created_by,JOSM,regular
18628298,created_by,JOSM,regular
18628300,created_by,JOSM,regular
18628301,created_by,JOSM,regular
18628303,created_by,JOSM,regular
18628309,created_by,JOSM,regular
18628310,created_by,JOSM,regular
18628312,created_by,JOSM,regular
18628313,created_by,JOSM,regular
18628314,created_by,JOSM,regular
18628315,created_by,JOSM,regular
18628316,created_by,JOSM,regular
18628317,created_by,JOSM,regular
18628321,created_by,JOSM,regular
18628325,created_by,JOSM,regular
18628326,created_by,JOSM,regular
18628327,created_by,JOSM,regular
18628328,created_by,JOSM,regular
18628330,created_by,JOSM,regular
18628331,created_by,JOSM,regular
18628332,created_by,JOSM,regular
18628333,created_by,JOSM,regular
18628337,created_by,JOSM,regular
18628341,created_by,JOSM,regular
18628343,created_by,JOSM,regular
18628347,created_by,JOSM,regular
18628348,created_by,JOSM,regular
18628349,created_by,JOSM,regular
18628392,created_by,JOSM,regular
18628412,created_by,JOSM,regular
18628437,created_by,JOSM,regular
18628441,created_by,JOSM,regular
18628472,created_by,JOSM,regular
18628473,created_by,JOSM,regular
18628495,created_by,JOSM,regular
18628535,created_by,JOSM,regular
18628537,created_by,JOSM,regular
18628541,created_by,JOSM,regular
18628550,name,Sainsbury's,regular
18628550,amenity,fuel,regular
18628550,operator,Sainsbury's,regular
18628572,foot,yes,regular
18628572,barrier,cattle_grid,regular
18628572,bicycle,yes,regular
18628623,highway,crossing,regular
18628623,crossing,traffic_signals,regular
18628623,crossing_ref,toucan,regular
18628642,ref,AOCL,regular
18628642,name,Laundry Lane Crossing,regular
18628642,railway,level_crossing,regular
18628642,barrier,half,crossing
18628735,created_by,JOSM,regular
18628736,created_by,JOSM,regular
18628737,created_by,JOSM,regular
18628752,created_by,JOSM,regular
18628956,highway,turning_circle,regular
18628962,highway,turning_circle,regular
18628968,created_by,JOSM,regular
18628989,created_by,JOSM,regular
18628992,created_by,JOSM,regular
18629000,barrier,gate,regular
18629008,amenity,parking,regular
18629014,created_by,JOSM,regular
18629026,name,Abbey Meadows Community Primary School,regular
18629026,amenity,school,regular
18629026,street,Galfrid Road,addr
18629026,edubase,132127,ref
18629026,postal_code,CB5 8ND,addr
18629028,name,The Fields Early Learning Centre,regular
18629028,amenity,school,regular
18629028,street,Galfrid Road,addr
18629028,edubase,23190,ref
18629028,postal_code,CB5 8ND,addr
18629043,created_by,JOSM,regular
18629047,created_by,JOSM,regular
18629048,created_by,JOSM,regular
18629060,source,Bing,regular
18629060,highway,turning_circle,regular
18629061,source,Bing,regular
18629061,highway,turning_circle,regular
18629064,highway,turning_circle,regular
18629118,barrier,bollard,regular
18629130,created_by,JOSM,regular
18629153,name,Rosemary Branch,regular
18629153,disused,yes,regular
18629153,amenity,pub,disused
18649352,created_by,JOSM,regular
18649361,created_by,JOSM,regular
18649368,created_by,JOSM,regular
18649370,created_by,JOSM,regular
18649372,created_by,JOSM,regular
18649375,created_by,JOSM,regular
18649377,created_by,JOSM,regular
18649380,created_by,JOSM,regular
18650276,highway,crossing,regular
18650276,crossing,traffic_signals,regular
18650276,crossing_ref,toucan,regular
18650290,highway,crossing,regular
18650290,crossing,traffic_signals,regular
18650290,crossing_ref,toucan,regular
18650290,source,survey,source
18652937,created_by,JOSM,regular
18652964,created_by,JOSM,regular
18652965,created_by,JOSM,regular
18652969,created_by,JOSM,regular
18652971,created_by,JOSM,regular
18652972,created_by,JOSM,regular
18652973,created_by,JOSM,regular
18656215,created_by,JOSM,regular
18656216,created_by,JOSM,regular
18656219,created_by,JOSM,regular
18656222,created_by,JOSM,regular
18656223,created_by,JOSM,regular
18656226,created_by,JOSM,regular
18658672,created_by,JOSM,regular
18658678,created_by,JOSM,regular
18659730,created_by,JOSM,regular
18659731,created_by,JOSM,regular
18659732,created_by,JOSM,regular
18659737,created_by,JOSM,regular
18659738,created_by,JOSM,regular
18659940,created_by,JOSM,regular
18659941,created_by,JOSM,regular
18659942,created_by,JOSM,regular
18659954,barrier,kissing_gate,regular
18659957,created_by,JOSM,regular
18659958,created_by,JOSM,regular
18659959,created_by,JOSM,regular
18659960,created_by,JOSM,regular
18660022,created_by,JOSM,regular
18660023,created_by,JOSM,regular
19099229,created_by,JOSM,regular
19256697,created_by,JOSM,regular
19256749,created_by,JOSM,regular
19256914,leisure,playground,regular
19256914,created_by,JOSM,regular
19256925,entrance,main,regular
19850435,barrier,bollard,regular
19850537,created_by,JOSM,regular
19850547,created_by,JOSM,regular
19850568,created_by,JOSM,regular
19850570,created_by,JOSM,regular
19850597,traffic_calming,hump,regular
19850621,created_by,JOSM,regular
19850676,highway,turning_circle,regular
19850695,created_by,JOSM,regular
19850705,created_by,JOSM,regular
19850707,created_by,JOSM,regular
19850709,traffic_calming,hump,regular
19850719,created_by,JOSM,regular
19850721,created_by,JOSM,regular
19850722,created_by,JOSM,regular
19850723,created_by,JOSM,regular
19850739,traffic_calming,hump,regular
19850742,highway,crossing,regular
19850786,highway,traffic_signals,regular
19850788,highway,traffic_signals,regular
19850802,barrier,cattle_grid,regular
19850828,barrier,cattle_grid,regular
19851103,highway,turning_circle,regular
19851169,highway,turning_circle,regular
19851183,barrier,bollard,regular
19851202,highway,traffic_signals,regular
19851203,highway,traffic_signals,regular
19851287,fee,no,regular
19851287,amenity,atm,regular
19851287,operator,Tesco,regular
19851406,name,Henley Road Sorting Office,regular
19851406,amenity,post_depot,regular
19851406,operator,Royal Mail,regular
19851406,opening_hours,Mo-Tu 07:00-17:30; We 07:00-20:00; Th-Fr 07:00-17:30; Sa 07:00-14:00,regular
19851412,source,survey,regular
19851412,highway,mini_roundabout,regular
19851412,direction,clockwise,regular
19851416,highway,traffic_signals,regular
19851429,source,local_knowledge,regular
19851429,highway,mini_roundabout,regular
19851429,direction,clockwise,regular
19851502,foot,yes,regular
19851502,source,Bing,regular
19851502,highway,crossing,regular
19851502,crossing,uncontrolled,regular
19851502,crossing_ref,zebra,regular
19851615,barrier,cattle_grid,regular
19851711,amenity,recycling,regular
19851711,tin,no,recycling
19851711,general,no,recycling
19851711,recycling_type,centre,regular
19851711,paper,yes,recycling
19851711,glass,yes,recycling
19851711,paper,yes,recycling
19851711,general,yes,recycling
19851711,paper,no,recycling
19851711,general,yes,recycling
19851711,plastic,no,recycling
19851711,batteries,no,recycling
19851711,paper,yes,recycling
19851711,paper,yes,recycling
19851711,paper,yes,recycling
19851711,general,no,recycling
19851711,tin,no,recycling
19851711,glass,yes,recycling
19851711,paper,no,recycling
19851711,plastic,yes,recycling
19851711,general,no,recycling
19851711,plastic,no,recycling
19851711,general,no,recycling
19851852,name,The Wrestlers,regular
19851852,telephone,+441223566554,regular
19851852,amenity,pub,regular
19851852,website,http://www.charleswellspubs.co.uk/home/pub-guide/pub/wrestlers,regular
19851852,street,Newmarket Road,addr
19851852,postal_code,CB5 8JE,addr
19851852,opening_hours,"Mo-Su 12:00-15:00,17:00-23:00",regular
19851852,housenumber,337,addr
19851911,ref,CB5 34,regular
19851911,amenity,post_box,regular
19851911,operator,Royal Mail,regular
19851911,collection_times,Mo-Fr 09:00; Sa 07:00,regular
19851912,amenity,recycling,regular
19851915,ref,CB5 48,regular
19851915,source,survey,regular
19851915,amenity,post_box,regular
19851915,operator,Royal Mail,regular
19851915,collection_times,Mo-Fr 18:30; Sa 12:00,regular
19851916,ref,CB5 46,regular
19851916,amenity,post_box,regular
19851916,operator,Royal Mail,regular
19851916,collection_times,Mo-Fr 09:00; Sa 07:00,regular
19851929,name,Cambridge United FC,regular
19851929,amenity,parking,regular
19851929,created_by,Potlatch 0.4b,regular
20080502,highway,crossing,regular
20080502,crossing,uncontrolled,regular
20080502,source,local_knowledge,source
20080521,highway,turning_circle,regular
20080551,created_by,JOSM,regular
20080555,created_by,JOSM,regular
20080559,created_by,JOSM,regular
20080561,created_by,JOSM,regular
20080569,created_by,JOSM,regular
20080573,bicycle,yes,regular
20080573,highway,crossing,regular
20080573,crossing,traffic_signals,regular
20080573,crossing_ref,puffin,regular
20080573,button_operated,yes,regular
20080587,created_by,JOSM,regular
20080590,created_by,JOSM,regular
20080591,created_by,JOSM,regular
20080596,created_by,JOSM,regular
20080599,created_by,JOSM,regular
20080644,note,Genome strips begin here and continue S for ~1 mile.,regular
20080698,highway,turning_circle,regular
20080701,highway,mini_roundabout,regular
20080701,direction,clockwise,regular
20080710,created_by,JOSM,regular
20080739,created_by,JOSM,regular
20080746,created_by,JOSM,regular
20080758,created_by,JOSM,regular
20080785,created_by,JOSM,regular
20080788,created_by,JOSM,regular
20080790,created_by,JOSM,regular
20080795,created_by,JOSM,regular
20080796,created_by,JOSM,regular
20080798,created_by,JOSM,regular
20080811,created_by,JOSM,regular
20080812,created_by,JOSM,regular
20080813,created_by,JOSM,regular
20080816,created_by,JOSM,regular
20080827,created_by,JOSM,regular
20080839,created_by,JOSM,regular
20080853,created_by,JOSM,regular
20080855,created_by,JOSM,regular
20080857,created_by,JOSM,regular
20080860,created_by,JOSM,regular
20080863,created_by,JOSM,regular
20080865,created_by,JOSM,regular
20080872,created_by,JOSM,regular
20080878,created_by,JOSM,regular
20080879,created_by,JOSM,regular
20080882,created_by,JOSM,regular
20080901,highway,turning_circle,regular
20080902,created_by,JOSM,regular
20080915,created_by,JOSM,regular
20080917,created_by,JOSM,regular
20080918,created_by,JOSM,regular
20080922,created_by,JOSM,regular
20080929,created_by,JOSM,regular
20080935,created_by,JOSM,regular
20080939,created_by,JOSM,regular
20080950,created_by,JOSM,regular
20080961,created_by,JOSM,regular
20080964,created_by,JOSM,regular
20080966,created_by,JOSM,regular
20080968,created_by,JOSM,regular
20081001,created_by,JOSM,regular
20081003,created_by,JOSM,regular
20081004,created_by,JOSM,regular
20081019,created_by,JOSM,regular
20081023,created_by,JOSM,regular
20081026,created_by,JOSM,regular
20081028,created_by,JOSM,regular
20081046,created_by,JOSM,regular
20081057,created_by,JOSM,regular
20081064,created_by,JOSM,regular
20081080,name,The Three Horseshoes,regular
20081080,note,"Formerly The Longbow (from 1977), before that The Three Horseshoes again.",regular
20081080,amenity,pub,regular
20081081,created_by,JOSM,regular
